昵称,性别,地区,评论
祈俏情,保密,吉林,"所有线索都挺乱的，我大概梳理一下（我也没看过电影）这个村子一直在买那些被拐卖的孩子来祭祀佛母，然后佛母会选择哪些成为泥童哪些成为仙童，泥童应该就是用那些孩子做的，女主就是仙童之一。是要被献祭给佛母的，但是婆婆偷偷把女主送出了村子，导致祭祀没能完成，佛母发怒开始诅咒村民们导致村子里都是那些身上长符文的村民，村民们没搞懂佛母的意思开始找更多孩子献祭给佛母，但是佛母想要的是有成为仙童资质的孩子，送的那些全都不管用。然后v哥是警察，v哥的女儿应该也被佛母选中了，那个被杀的女人想把v哥的女儿献给佛母但是v哥不愿意。佛母生气了诅咒了v哥的女儿。v哥想到能救他女儿的办法就是找到另一个能成为仙童的孩子。一开始打的是婆婆家那个小女孩的主意，但女孩一直都被婆婆保护的很好v哥不能得逞，然后开始打女主的主意，开头说女主女儿的信应该就是v哥写的，把女主骗来想要把女主献祭给佛母换回他的女儿，但是婆婆不让，因为女主是婆婆的亲女儿，婆婆把女主支开就是和v哥达成了协议让那个女孩替代女主被献祭，那个女孩也是仙童，但是由于女主的原因导致献祭失败了，女主后面看到的那段应该就是佛母干的，那个独眼怪并非佛母本体而是婆婆在女主心中的样子，因为女主从小没有父母（女主是被婆婆从村子里送出来的）所以她以为是父母抛弃了她开始记恨父母，婆婆在女主的世界里那个样子应该就是这个原因，串通全文的线索就是那个女孩一直在问自己可不可以叫女主妈妈，而最后结束的时候给了一个佛母本尊的视角，最后那个谢谢妈妈是女孩看着佛母说的，也就是说女主一直在佛母的套里，女孩向佛母许愿自己想要一个妈妈，所以佛母通过一系列行为影响女主让女主最后成为了那女孩的妈妈，也就是说女孩和佛母肯定有着不浅的关系，但这个女孩应该不是佛母物理意义上的女儿，可能是所有成为仙童的孩子都和佛母是母女关系，关键人物就这些，大致剧情应该就是这样，但是游戏剧情应该是绑定电影剧情的，不看电影会少很多线索。我看弹幕说李若男是电影女主的名字，那游戏剧情应该在电影的结局之后，婆婆应该就是电影的李若男，这样的话一切应该都能接上了，等找时间我看看电影剧情应该就能完整接上了，到时候我再来追评
收起"
渣渣鸦,保密,辽宁,这似曾相识啊
シ那年盛夏,女,广东,看完之后心里更压抑了，太致郁了[无语][无语][无语]
荞荞的长虹剑_,保密,河南,小妹妹好软好可爱～
苏夜樱,保密,上海,[doge][打call][打call][热词系列_神仙UP]
鸭鸭不是麻瓜,保密,江苏,还是最喜欢看cc的实况[害羞]
取个昵称好累,男,浙江,小女孩的配音好真实啊，没有那种夹夹的上翘的音调，就是稚嫩但是正常的声音
Bodyleon,男,陕西,我第一次看一个视频的评论 看了俩小时   他们在讨论大黑佛母能打赢孙悟空吗 哈哈哈哈
牙牙木秋,保密,重庆,电影里的女主和游戏里的女主不太一样。
啥也不知道就鹿鹿,女,山西,我现在才来哈哈哈哈哈，开看
师爷阿Lok,男,广东,剧本开头很平淡，但到了结尾却很加分。其实游戏的剧本，都在阐述一个道理，只有放下过去，才能中断死循环。
-兔子Killer,女,广东,能不能别刷反弹了。。
